BerufId;Beruf
8387;Architekturzeichner
12267;Archivangestellter
13973;Archivar
11841;Archivbeamter
11128;Archivdirektor
13971;Archivleiter
10975;Area Manager
9707;Area Sales Manager
4472;Argonschweisser
4257;Armaturendreher
5084;Armatureninstallateur
5100;Armaturenmonteur
4636;Armaturenschlosser
13590;Armeefahrlehrer
13575;Armeekorpskommandant
16593;Armeninspektor
16586;Armenpfleger
2410;Armierbetonarbeiter
2417;Armierer
4764;Armierungsstahlbearbeiter
16087;Aromamasseur
16155;Aromatherapeut
6875;Aromatiker
5410;Arrondisseur
14634;Art Designer
10750;Art-Director
11399;Art-Director-Assistent
17254;Artikulationslehrer
14389;Artist
10599;Artistenagent
17866;Arzneimittelchemiker
17899;Arzneimittelchemiker 1
15795;Arzt
15916;Arzt für Osteopathische Medizin
15882;Arzt für plastische und ästhetische Chirurgie
15914;Arzt im Notfalldienst
15830;Arzt mit eigener Praxis
15850;Arzt, Dr. med.
15863;Arzt, Professor
15912;Arzt, Traditionelle Chinesische Medizin
15833;Arzt-Gutachter
9774;Arztbesucher
9773;Ärzteberater
9747;Ärztebesucher
15939;Arztgehilfe
16342;Arztgehilfe für Veterinärmedizin
15942;Arztgehilfe-Laborant
17423;Arztgehilfen-Ausbildner
15940;Arzthelfer
15911;Ärztlicher Leiter
15943;Arztpraxisgehilfe
11532;Arztsekretär
3168;Asbestsanierer
1111;Asbestspinner
3351;Asbestzementschleifer
3437;Asbestzementwarenmacher
1998;Äschereiarbeiter
2989;Asphaltabdecker
2988;Asphaltarbeiter
2490;Asphalteur
2980;Asphaltfuger
3272;Asphaltgrubenarbeiter
2494;Asphaltkocher
2517;Asphaltmischer
2518;Asphaltmischmeister
2493;Asphaltplanierer
3457;Asphaltplattenpresser
2981;Asphaltspachtler
2497;Asphaltstrassenarbeiter
10171;Assekuranzagent
10222;Assekuranzvertreter
16947;Assessor (Hochschulassistent)
12579;Assessor (Informatiker)
13789;Assessor (Jurist)
18734;Assessor (ohne nähere Angaben)
10535;Assetmanager
12230;Assistance-Koordinator
14611;Assistant Designer
11456;Assistant to the CEO
18600;Assistent
16935;Assistent an wissenschaftlicher Versuchsanstalt
10035;Assistent Anlageberatung
12276;Assistent Betriebsleitung
12286;Assistent der Geschäftskontrolle
12274;Assistent der Geschäftsleitung
14044;Assistent der künstlerischen Leitung
15837;Assistent des Chefarztes
9607;Assistent des Chefkassiers
11323;Assistent des Chefs
12280;Assistent des Direktors
